[2026-01-16 12:09:26,781] [INFO] Starting run. Log file: ./logs/precodahora\run_20260116_120926.log
[2026-01-16 12:09:27,526] [INFO] BOOTSTRAP GET https://precodahora.ba.gov.br/produtos/ -> 200
[2026-01-16 12:09:27,528] [INFO] Cookies received: ['token', 'session', 'cookiesession1']
[2026-01-16 12:09:27,528] [INFO] CSRF token found: yes
[2026-01-16 12:09:27,532] [INFO] GASOLINA: fetching page 1 (only) ...
[2026-01-16 12:09:27,923] [INFO] GASOLINA: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=GASOLINA\dt=2026-01-16\run_id=d793dead-5959-4d67-adb1-a262bb2dafca\data.jsonl
[2026-01-16 12:09:27,924] [INFO] Sleeping 1.26s before next fuel...
[2026-01-16 12:09:29,186] [INFO] ETANOL: fetching page 1 (only) ...
[2026-01-16 12:09:29,520] [INFO] ETANOL: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=ETANOL\dt=2026-01-16\run_id=ca4db1ef-4b31-4757-8086-5661c9932974\data.jsonl
[2026-01-16 12:09:29,520] [INFO] Sleeping 1.33s before next fuel...
[2026-01-16 12:09:30,852] [INFO] GNV: fetching page 1 (only) ...
[2026-01-16 12:09:31,155] [INFO] GNV: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=GNV\dt=2026-01-16\run_id=7d49c175-93cc-49fd-9e8a-10e6af11b1ee\data.jsonl
[2026-01-16 12:09:31,156] [INFO] Sleeping 1.34s before next fuel...
[2026-01-16 12:09:32,497] [INFO] DIESEL: fetching page 1 (only) ...
[2026-01-16 12:09:32,852] [INFO] DIESEL: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=DIESEL\dt=2026-01-16\run_id=7766e40b-9166-4271-9644-858a0b8e4049\data.jsonl
[2026-01-16 12:09:32,853] [INFO] Overall manifest saved: ./raw_out\overall_manifest.json
[2026-01-16 12:09:32,853] [INFO] Run completed successfully.
