[2026-01-16 13:50:08,263] [INFO] Starting run. Log file: ./scraping/logs/precodahora\run_20260116_135008.log
[2026-01-16 13:50:09,714] [INFO] BOOTSTRAP GET https://precodahora.ba.gov.br/produtos/ -> 200
[2026-01-16 13:50:09,716] [INFO] Cookies received: ['token', 'session', 'cookiesession1']
[2026-01-16 13:50:09,716] [INFO] CSRF token found: yes
[2026-01-16 13:50:09,718] [INFO] GASOLINA: fetching page 1 (only) ...
[2026-01-16 13:50:10,113] [INFO] GASOLINA: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=GASOLINA\dt=2026-01-16\run_id=ceb7f9bc-b791-4bef-a8cf-b842090ff874\data.jsonl
[2026-01-16 13:50:10,114] [INFO] Sleeping 2.24s before next fuel...
[2026-01-16 13:50:12,354] [INFO] ETANOL: fetching page 1 (only) ...
[2026-01-16 13:50:12,819] [INFO] ETANOL: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=ETANOL\dt=2026-01-16\run_id=9a67efb1-c8e7-4a6b-b59f-6bbad63a7515\data.jsonl
[2026-01-16 13:50:12,820] [INFO] Sleeping 1.69s before next fuel...
[2026-01-16 13:50:14,512] [INFO] GNV: fetching page 1 (only) ...
[2026-01-16 13:50:15,443] [INFO] GNV: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=GNV\dt=2026-01-16\run_id=d8ca37b8-988b-4a65-9183-710278544506\data.jsonl
[2026-01-16 13:50:15,443] [INFO] Sleeping 1.51s before next fuel...
[2026-01-16 13:50:16,951] [INFO] DIESEL: fetching page 1 (only) ...
[2026-01-16 13:50:17,934] [INFO] DIESEL: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=DIESEL\dt=2026-01-16\run_id=4afb3040-d136-4652-a641-00ce154e6aa4\data.jsonl
[2026-01-16 13:50:17,935] [INFO] Overall manifest saved: ./scraping/raw_out\overall_manifest.json
[2026-01-16 13:50:17,935] [INFO] Run completed successfully.
