[2026-01-16 12:08:27,776] [INFO] Starting run. Log file: ./logs/precodahora\run_20260116_120827.log
[2026-01-16 12:08:28,706] [INFO] BOOTSTRAP GET https://precodahora.ba.gov.br/produtos/ -> 200
[2026-01-16 12:08:28,707] [INFO] Cookies received: ['token', 'session', 'cookiesession1']
[2026-01-16 12:08:28,707] [INFO] CSRF token found: yes
[2026-01-16 12:08:28,708] [INFO] GASOLINA: fetching page 1 (only) ...
[2026-01-16 12:08:29,115] [INFO] GASOLINA: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=GASOLINA\dt=2026-01-16\run_id=cacc262f-bcfa-492c-abca-1e716eac2511\data.jsonl
[2026-01-16 12:08:29,115] [INFO] Sleeping 2.31s before next fuel...
[2026-01-16 12:08:31,425] [INFO] ETANOL: fetching page 1 (only) ...
[2026-01-16 12:08:31,739] [INFO] ETANOL: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=ETANOL\dt=2026-01-16\run_id=6939f8c9-94c3-48de-bc52-6a49454a5b2b\data.jsonl
[2026-01-16 12:08:31,739] [INFO] Sleeping 1.31s before next fuel...
[2026-01-16 12:08:33,050] [INFO] GNV: fetching page 1 (only) ...
[2026-01-16 12:08:33,282] [INFO] GNV: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=GNV\dt=2026-01-16\run_id=d7d40bbc-3040-4e97-a2d7-6eaaf3aa26aa\data.jsonl
[2026-01-16 12:08:33,282] [INFO] Sleeping 2.36s before next fuel...
[2026-01-16 12:08:35,640] [INFO] DIESEL: fetching page 1 (only) ...
[2026-01-16 12:08:35,984] [INFO] DIESEL: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=DIESEL\dt=2026-01-16\run_id=3fed2d4c-e72b-4366-98fe-0752e38a118d\data.jsonl
[2026-01-16 12:08:35,985] [INFO] Overall manifest saved: ./raw_out\overall_manifest.json
[2026-01-16 12:08:35,985] [INFO] Run completed successfully.
